,price,location,area,Bedrooms,Bathrooms
234,15800000.0,"Dwarka Sector 12, New Delhi, Sector 12 Dwarka, New Delhi - Dwarka, Delhi NCR",2200.0,4.0,4.0
235,19400000.0,"Dwarka Sector 12, New Delhi, Sector 12 Dwarka, New Delhi - Dwarka, Delhi NCR",2100.0,4.0,4.0
236,12200000.0,"Dwarka Sector 19, New Delhi, Sector 19 Dwarka, New Delhi - Dwarka, Delhi NCR",1450.0,2.0,2.0
237,15900000.0,"Dwarka Sector 19, New Delhi, Sector 19 Dwarka, New Delhi - Dwarka, Delhi NCR",1900.0,3.0,3.0
238,16000000.0,"Dwarka Sector 22, New Delhi, Sector 22 Dwarka, New Delhi - Dwarka, Delhi NCR",1750.0,3.0,2.0
239,27000000.0,"Dwarka Sector 22, New Delhi, Sector 22 Dwarka, New Delhi - Dwarka, Delhi NCR",2850.0,5.0,4.0
240,14500000.0,"Dwarka Sector 23, New Delhi, Sector 23 Dwarka, New Delhi - Dwarka, Delhi NCR",1650.0,3.0,2.0
241,16700000.0,"Dwarka Sector 23, New Delhi, Sector 23 Dwarka, New Delhi - Dwarka, Delhi NCR",1900.0,3.0,3.0
242,16000000.0,"Dwarka Sector 6, New Delhi, Sector 6 Dwarka, New Delhi - Dwarka, Delhi NCR",1850.0,3.0,2.0
243,13500000.0,"Dwarka Sector 6, New Delhi, Sector 6 Dwarka, New Delhi - Dwarka, Delhi NCR",1450.0,3.0,2.0
244,13500000.0,"Dwarka Sector 9, New Delhi, Sector 9 Dwarka, New Delhi - Dwarka, Delhi NCR",1700.0,3.0,2.0
245,16200000.000000002,"Dwarka Sector 9, New Delhi, Sector 9 Dwarka, New Delhi - Dwarka, Delhi NCR",1700.0,3.0,3.0
246,16000000.0,"Dwarka, New Delhi - Dwarka, Delhi NCR",2000.0,4.0,3.0
247,8500000.0,"Dwarka, New Delhi - Dwarka, Delhi NCR",1000.0,3.0,3.0
248,14500000.0,"Dwarka, New Delhi - Dwarka, Delhi NCR",1950.0,3.0,3.0
249,3550000.0,"Dwarka-Manesar Expressway, Gurgaon, Delhi NCR",602.0,2.0,2.0
250,3500000.0,"East Avenue Society Sector 73 Noida, Sector 73, Noida, Delhi NCR",985.0,2.0,2.0
251,3200000.0,"Eta 2, Greater Noida, Delhi NCR",1005.0,2.0,2.0
252,3500000.0,"Eta 2, Greater Noida, Delhi NCR",1100.0,2.0,2.0
253,4700000.0,"Eta 2, Greater Noida, Delhi NCR",1189.0,2.0,2.0
254,3900000.0,"Eta 2, Greater Noida, Delhi NCR",1050.0,3.0,2.0
255,3500000.0,"Eta 2, Greater Noida, Delhi NCR",995.0,3.0,2.0
256,4700000.0,"Eta 2, Greater Noida, Delhi NCR",1399.0,3.0,3.0
257,4300000.0,"Eta 2, Greater Noida, Delhi NCR",1195.0,2.0,2.0
258,6000000.0,"Eta 2, Greater Noida, Delhi NCR",1875.0,3.0,3.0
259,6000000.0,"Eta 2, Greater Noida, Eta 2, Greater Noida, Delhi NCR",1575.0,3.0,3.0
260,3000000.0,"Eta 2, Greater Noida, Eta 2, Greater Noida, Delhi NCR",845.0,2.0,2.0
261,5500000.0,"Eta 2, Greater Noida, Uttar Pardesh, Eta 2, Greater Noida, Delhi NCR",1225.0,3.0,2.0
262,4500000.0,"Eta 2, Greater Noida, Uttar Pardesh, Eta 2, Greater Noida, Delhi NCR",1060.0,2.0,2.0
263,5500000.0,"Freedom Fighters Enclave, New Delhi - South, Delhi NCR",950.0,2.0,2.0
264,5000000.0,"Freedom Fighters Enclave, New Delhi - South, Delhi NCR",950.0,2.0,2.0
265,5300000.0,"Freedom Fighters Enclave, New Delhi - South, Delhi NCR",900.0,2.0,2.0
266,7000000.0,"G T Road, Ghaziabad, Delhi NCR",1690.0,3.0,3.0
267,7000000.0,"G T Road, Ghaziabad, Delhi NCR",1820.0,3.0,3.0
268,7100000.0,"G T Road, Ghaziabad, Delhi NCR",1690.0,3.0,3.0
269,5500000.0,"G T Road, Ghaziabad, Delhi NCR",1350.0,3.0,3.0
270,6300000.0,"G T Road, Ghaziabad, Delhi NCR",1690.0,3.0,3.0
271,5500000.0,"G T Road, Ghaziabad, G T Road, Ghaziabad, Delhi NCR",1125.0,2.0,2.0
272,4000000.0,"GH 04, Sector 16C, Gaur City 2, Greater Noida, Uttar Pradesh 201318, Noida Extension, Noida, Delhi NCR",960.0,2.0,2.0
273,3000000.0,"GH-18, Shahpur, Bamheta, National Highway 24, Pandav Nagar, Ghaziabad, Uttar Pradesh, NH 24, Ghaziabad, Delhi NCR",925.0,2.0,2.0
274,4000000.0,"Garhi, Ghaziabad, Delhi NCR",1080.0,2.0,2.0
275,5500000.0,"Garhi, Ghaziabad, Delhi NCR",1470.0,3.0,2.0
276,3950000.0,"Gaur City 2, Noida, Uttar Pradesh, Noida Extension, Noida, Delhi NCR",1010.0,2.0,2.0
277,5500000.0,"Gaur City 5th Avenue, Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1400.0,3.0,3.0
